idx,family,dur_s
127,llama3.2-1b,1812
128,llama3.2-1b,1839
129,llama3.2-1b,1917
130,llama3.2-1b,1879
131,llama3.2-1b,1877
132,qwen2.5-1.5b,3069
133,qwen2.5-1.5b,3042
134,qwen2.5-1.5b,3034
135,qwen2.5-1.5b,3210
136,qwen2.5-1.5b,3114
137,qwen2.5-1.5b,2967
138,llama3.2-1b,1800
139,llama3.2-1b,1764
140,llama3.2-1b,1790
141,llama3.2-1b,1897
142,llama3.2-1b,1828
143,llama3.2-1b,1819
144,qwen2.5-1.5b,2999
145,qwen2.5-1.5b,2965
146,qwen2.5-1.5b,3321
147,qwen2.5-1.5b,3043
148,qwen2.5-1.5b,3000
149,qwen2.5-1.5b,2970
150,llama3.2-1b,1781
151,llama3.2-1b,1757
152,llama3.2-1b,1769
153,llama3.2-1b,1886
154,llama3.2-1b,1821
155,llama3.2-1b,1774
156,qwen2.5-1.5b,2992
157,qwen2.5-1.5b,2963
158,qwen2.5-1.5b,2965
159,qwen2.5-1.5b,3065
160,qwen2.5-1.5b,3043
161,qwen2.5-1.5b,2979
162,llama3.2-1b,1783
163,llama3.2-1b,1778
164,llama3.2-1b,1787
165,llama3.2-1b,1878
166,llama3.2-1b,1816
167,llama3.2-1b,1768
168,qwen2.5-1.5b,2990
169,qwen2.5-1.5b,2958
170,qwen2.5-1.5b,2949
171,qwen2.5-1.5b,3087
172,qwen2.5-1.5b,3006
173,qwen2.5-1.5b,2974
174,llama3.2-1b,1784
175,llama3.2-1b,1752
176,llama3.2-1b,1763
177,llama3.2-1b,1873
178,llama3.2-1b,1824
179,llama3.2-1b,1924
180,qwen2.5-1.5b,3079
181,qwen2.5-1.5b,3066
182,qwen2.5-1.5b,3084
183,qwen2.5-1.5b,3150
184,qwen2.5-1.5b,3109
185,qwen2.5-1.5b,3057
186,llama3.2-1b,1805
187,llama3.2-1b,1815
188,llama3.2-1b,1803
189,llama3.2-1b,1891
190,llama3.2-1b,1839
191,llama3.2-1b,1817
192,qwen2.5-1.5b,3099
193,qwen2.5-1.5b,3074
194,qwen2.5-1.5b,3059
195,qwen2.5-1.5b,3164
196,qwen2.5-1.5b,3148
197,qwen2.5-1.5b,3075
198,llama3.2-1b,1813
199,llama3.2-1b,1814
200,llama3.2-1b,1797
201,llama3.2-1b,1913
202,llama3.2-1b,1803
203,llama3.2-1b,1786
204,qwen2.5-1.5b,2992
205,qwen2.5-1.5b,2960
206,qwen2.5-1.5b,2972
207,qwen2.5-1.5b,3056
208,qwen2.5-1.5b,3016
209,qwen2.5-1.5b,2990
210,llama3.2-1b,1765
211,llama3.2-1b,1736
212,llama3.2-1b,1748
213,llama3.2-1b,1868
214,llama3.2-1b,1802
215,llama3.2-1b,1755
216,qwen2.5-1.5b,2983
217,qwen2.5-1.5b,2978
218,qwen2.5-1.5b,2963
219,qwen2.5-1.5b,3258
220,qwen2.5-1.5b,3112
221,qwen2.5-1.5b,3079
222,llama3.2-1b,1808
223,llama3.2-1b,1784
224,llama3.2-1b,1782
225,llama3.2-1b,1888
226,llama3.2-1b,1833
227,llama3.2-1b,1791
228,qwen2.5-1.5b,3079
229,qwen2.5-1.5b,3060
230,qwen2.5-1.5b,3053
231,qwen2.5-1.5b,3175
232,qwen2.5-1.5b,3115
233,qwen2.5-1.5b,3082
234,llama3.2-1b,1826
235,llama3.2-1b,1797
236,llama3.2-1b,1796
237,llama3.2-1b,1948
238,llama3.2-1b,1879
239,llama3.2-1b,1909
240,qwen2.5-1.5b,3078
241,qwen2.5-1.5b,3042
242,qwen2.5-1.5b,3087
243,qwen2.5-1.5b,3135
244,qwen2.5-1.5b,3037
245,qwen2.5-1.5b,2977
246,llama3.2-1b,1795
247,llama3.2-1b,1767
248,llama3.2-1b,1781
249,llama3.2-1b,1966
250,llama3.2-1b,1856
251,llama3.2-1b,1807
252,qwen2.5-1.5b,3094
253,qwen2.5-1.5b,3054
254,qwen2.5-1.5b,3051
255,qwen2.5-1.5b,3148
256,qwen2.5-1.5b,3089
257,qwen2.5-1.5b,3105
258,llama3.2-1b,1824
259,llama3.2-1b,1789
260,llama3.2-1b,1798
261,llama3.2-1b,1907
