family_short,task,run_index,dev_mean,dev_max,dev_step0_mean,dev_step0_max,final_gap,gap_auc,update_mag_mean,update_mag_max
llama3.2-1b,xsum,225,0.09341529109875014,0.26668463820052873,0.0,0.0,-0.014387044280767425,-53.25025624036789,0.7663340596398572,1.894332594844027
llama3.2-1b,squad,226,0.09449943929572566,0.4145786467688044,0.0,0.0,-0.006477466985583269,-68.38372306749224,0.7210682816751871,4.152326082693585
llama3.2-1b,agnews,227,0.07461378396978505,0.3169912322480018,0.0,0.0,0.010252094142138957,-86.95156776569783,0.7581527197758959,4.287698586644413
qwen2.5-1.5b,alpaca,228,0.038097866518676596,0.0903691636999338,0.0,0.0,-0.009907705552876012,-72.69782477729022,0.2884654928787862,0.851856122725483
qwen2.5-1.5b,code,229,0.03820603193084214,0.09167340714798076,0.0,0.0,0.0011193378828465994,-59.09996231347324,0.2699985753835324,0.7566409625010685
qwen2.5-1.5b,math,230,0.06238914052277383,0.156642092619943,0.0,0.0,0.011342482918873437,-48.190065466146905,0.3744043895002038,1.4933585117578203
qwen2.5-1.5b,xsum,231,0.04713810688504553,0.21194188664972893,0.0,0.0,0.004043014734983252,-34.19918303340673,0.32466961895476715,1.9864536153896601
qwen2.5-1.5b,squad,232,0.044120618041172406,0.08703089770679998,0.0,0.0,0.0012299752235411798,-70.62158696278931,0.34281520838763235,0.6740182513050695
qwen2.5-1.5b,agnews,233,0.04822325540479498,0.16784937980032383,0.0,0.0,0.006591524675488514,-70.54174948520958,0.31602628121748,1.081137812127951
llama3.2-1b,alpaca,234,0.05569416925776653,0.28077331951449586,0.0,0.0,-0.005029614515602632,-78.67078865971419,0.6210514325288182,3.884707541381881
llama3.2-1b,code,235,0.05748669608755635,0.21086078931529212,0.0,0.0,0.005099844835698614,-88.14336145017297,0.6541734781578373,3.6937045272299
llama3.2-1b,math,236,0.11426701741299158,0.3368769838218867,0.0,0.0,0.022563066959381095,-30.68481590785085,0.8569466380109225,3.9589829537189787
llama3.2-1b,xsum,237,0.09389730877922715,0.29265197112528407,0.0,0.0,-0.015520245581865488,-56.33884477615349,0.7729731692590122,1.9293227629685619
llama3.2-1b,squad,238,0.0942816773851066,0.4767781142112655,0.0,0.0,-0.003496775269508312,-71.01029472500088,0.7234500311623095,4.418515057745219
llama3.2-1b,agnews,239,0.07513357046120134,0.32303105665836007,0.0,0.0,0.006595229350030374,-88.00050265267488,0.7539482126377054,4.253975371098217
qwen2.5-1.5b,alpaca,240,0.03815663739635181,0.08756254330090517,0.0,0.0,-0.013956644538789975,-71.45790936481205,0.2835182607177785,0.7546141483923529
qwen2.5-1.5b,code,241,0.03789524427674949,0.10391466572336776,0.0,0.0,0.0006075284369289752,-58.776890084147446,0.26655652791231227,0.7737801076258326
qwen2.5-1.5b,math,242,0.06349509923005901,0.16222981005423404,0.0,0.0,0.011645077113062147,-48.103744635917245,0.379534052090762,1.242029751336193
qwen2.5-1.5b,xsum,243,0.04780793358609932,0.21329802553902338,0.0,0.0,-0.0027861396670341154,-33.83910133093596,0.3307534587797221,2.0536847013559236
qwen2.5-1.5b,squad,244,0.045287159749475496,0.08682886347966474,0.0,0.0,-0.004003623738884854,-70.22631432414055,0.3423408359664051,0.7392152193821896
qwen2.5-1.5b,agnews,245,0.04800158979316148,0.1692190362912654,0.0,0.0,0.006974674038589035,-71.89058203138413,0.31751276658918265,1.2371672477538853
llama3.2-1b,alpaca,246,0.05452801395078129,0.2907573549728634,0.0,0.0,0.005052013002336042,-80.61576212979855,0.6170357078582462,3.973351957896673
llama3.2-1b,code,247,0.06210241065743363,0.21681091750640333,0.0,0.0,0.0017872278839349554,-86.43194962516426,0.6587639727210015,3.6474836034570344
llama3.2-1b,math,248,0.11449318827348903,0.34007420830923496,0.0,0.0,0.024995959408581292,-29.7692114342004,0.8516209292591888,3.9619943886836264
llama3.2-1b,xsum,249,0.0922317308508846,0.2501610170746437,0.0,0.0,-0.0044159843623636785,-50.901895995438124,0.7696547064057357,1.8509003714098655
llama3.2-1b,squad,250,0.09384724463681035,0.40328370635077104,0.0,0.0,-0.02992011904716496,-67.62559678256511,0.7249835826569921,4.031210920500642
llama3.2-1b,agnews,251,0.07830001981694852,0.38949328100392777,0.0,0.0,0.004672308295965155,-87.48861372433605,0.771279646200812,3.7249949761848375
qwen2.5-1.5b,alpaca,252,0.03942144671451183,0.09856264336157093,0.0,0.0,0.0016947369799018008,-76.77710850350559,0.2883397075820116,0.8279770492476062
qwen2.5-1.5b,code,253,0.03909358717114815,0.11669319464035745,0.0,0.0,0.0018452495932578944,-58.64648086819798,0.267875345673062,0.8098928617607942
qwen2.5-1.5b,math,254,0.06403376811321607,0.16214611261840914,0.0,0.0,0.010394314290955664,-48.155423472728586,0.3801199663665099,1.2686661612144916
qwen2.5-1.5b,xsum,255,0.04691720773341977,0.2290422566304779,0.0,0.0,0.010096501231193544,-37.33931095302111,0.3226369765601736,2.0080138061109833
qwen2.5-1.5b,squad,256,0.04560642767541105,0.11337907576090786,0.0,0.0,-0.016846308857202508,-73.09362478628759,0.3433737120529287,0.7809617172963786
qwen2.5-1.5b,agnews,257,0.04795001493324752,0.15421109428409546,0.0,0.0,0.008702512018382569,-70.78753150552511,0.3156155792442671,1.0539227358595968
llama3.2-1b,alpaca,258,0.05434112861537463,0.26542576729874673,0.0,0.0,-0.01579676643759015,-78.64995590150359,0.612804834239072,3.7262294266827665
llama3.2-1b,code,259,0.06055156703828629,0.23237855168956417,0.0,0.0,0.006503553330898304,-88.97578845042734,0.6588241139107074,3.793855951679064
llama3.2-1b,math,260,0.1155979495491454,0.3092338043540331,0.0,0.0,0.028119740322232245,-29.525829840823995,0.8678069356036722,4.080110051185461
llama3.2-1b,xsum,261,0.09394148606911684,0.29683551653740214,0.0,0.0,0.008230749636888524,-48.75099761635065,0.7736478691908524,1.9875009156297105
llama3.2-1b,squad,262,0.09410735738147327,0.45054632799051986,0.0,0.0,-0.012038430839776959,-71.14930609911684,0.7249351473093146,4.3282598663796925
llama3.2-1b,agnews,263,0.0726279072018506,0.3081831979025291,0.0,0.0,0.004028020933270482,-85.74787648022178,0.7471372662356974,4.35482113166586
qwen2.5-1.5b,alpaca,264,0.03838141428424423,0.08001935050985746,0.0,0.0,-0.0064918703585862825,-70.80572445467112,0.2844879520177173,0.6801869460354146
qwen2.5-1.5b,code,265,0.03954138121276183,0.09738038749098123,0.0,0.0,0.0018416525926441135,-58.39308661064133,0.27519217023371156,0.8426312700435324
qwen2.5-1.5b,math,266,0.06306403518537815,0.14662293244101565,0.0,0.0,0.00994750970788301,-47.99672274859623,0.37883452635503184,1.2722083094846122
qwen2.5-1.5b,xsum,267,0.04770498152799142,0.23556474938125171,0.0,0.0,-0.006053499788045702,-38.32932678461074,0.32585606905242476,2.0456402258470603
qwen2.5-1.5b,squad,268,0.04616715399097881,0.08522604796343478,0.0,0.0,0.005953158035874373,-73.51346087455745,0.3457645533228532,0.7042937837377845
qwen2.5-1.5b,agnews,269,0.04807030201142962,0.14102883181743653,0.0,0.0,0.009325478024780731,-72.11069695986806,0.3192763129772332,1.1368573081522528
llama3.2-1b,alpaca,270,0.05393960609181165,0.33012559243183576,0.0,0.0,-0.0024808619022369527,-77.27648479044436,0.6166183340629658,4.019639414015653
llama3.2-1b,code,271,0.062393967282241586,0.2254667473305349,0.0,0.0,0.004142773151397716,-89.6553380953148,0.6553150018395492,3.8569575712629685
llama3.2-1b,math,272,0.1165125262595467,0.30847787396587717,0.0,0.0,0.029922385960817366,-30.233418636024016,0.8718486028588762,3.981084353021912
llama3.2-1b,xsum,273,0.09086065181287634,0.25220348450185276,0.0,0.0,0.010815999776125018,-59.43738764822481,0.7650012068548773,1.8251266727157731
llama3.2-1b,squad,274,0.09138164813451774,0.40522110643589293,0.0,0.0,0.0014406262636185163,-69.40788935571908,0.7192320579088787,4.263006027716918
llama3.2-1b,agnews,275,0.07554409639096933,0.332745060433992,0.0,0.0,0.004559099242091191,-86.09038077741862,0.7549189300930275,4.336838089467159
qwen2.5-1.5b,alpaca,276,0.03887936342353891,0.11019959088698772,0.0,0.0,0.01261592894792557,-70.35316223129631,0.2860765074350894,0.704757381420761
qwen2.5-1.5b,code,277,0.03772043475323151,0.077580486032043,0.0,0.0,0.0015269861258566386,-58.292729854211224,0.2670882053435197,0.8207630085142376
qwen2.5-1.5b,math,278,0.06443079984967295,0.16055064206647385,0.0,0.0,0.008223347034305328,-47.87138820085675,0.3775985496138266,1.346561063309848
qwen2.5-1.5b,xsum,279,0.047679935043410886,0.21272291324977963,0.0,0.0,-0.0074155967533588996,-33.15088703334334,0.32883763652792647,2.047605156087321
qwen2.5-1.5b,squad,280,0.04592651446531442,0.09336870604965723,0.0,0.0,-0.00505359767377378,-74.68122993782166,0.34358319305244095,0.7413933475641524
qwen2.5-1.5b,agnews,281,0.049080847652656585,0.16043997724737635,0.0,0.0,0.006270079761743541,-71.50791491270064,0.3174206693324986,1.235165239019993
llama3.2-1b,alpaca,282,0.05505291488385365,0.30711635257022524,0.0,0.0,0.006942978303879521,-77.95719517152754,0.617993858643164,4.11713965328454
